Shop Name,Shop Code,Store ID,Channel,Area Sup,Customer Name,Customer Code,Sales Org,REGION,Channel Lv1,Channel Lv2
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่) (สาขาห้วยสัก),B000094423,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่)สาขาเชียงแสน,TSP000012,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่)สาขาเวียงชัย,TSP000034,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่)สาขาประตูสรี,TSP000205,Not found,DL,N2,บริษัท ทวียนต์มาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088783,6560,North,RT,Chain Retail
บริษัท สหธานีมาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่)สาขาฝาง,TSP000213,Not found,DL,N2,บริษัท สหธานีมาร์เก็ตติ้ง จำกัด(สำนักงานใหญ่),B000088451,6560,North,RT,Chain Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด (สาขาบ้านดู่ 2 สาขาที่ 00040),B000139754,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด (สาขาปล้อง สาขาที่ 00014),B000094545,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด (สาขาห้วยสัก),B000094551,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด(สาขาเทิง),B000094358,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด(สาขาป่าแดด),B000094356,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาเชียงแสน,B000094549,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาเชียงของ,B000094538,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาเชียงรุ้ง,B000094540,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาเวียงแก่น,B000094543,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาเวียงชัย,B000094535,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาแม่ใจ,B000094542,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาแม่ขะจาน,B000094539,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาแม่จัน,B000094534,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาแม่ฟ้าหลวง,B000094548,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาแม่ลาว,B000094550,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาแม่สรวย,B000094537,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาจุน,B000094547,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาบ้านต้า,TSP000192,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
บริษัท สินธานีอีเล็คทรอนิกค์ จำกัดสาขาพญาเม็งราย,B000094546,Not found,DL,N2,บริษัท สินธานีอีเล็คทรอนิกค์ จำกัด,B000088450,6560,North,RT,Direct Retail
